Artifact	Exists	Type	SizeBytes	SHA256	UsedInThesis	RequiredForRegeneration	RegeneratableFrom	Decision	Reason	TargetRawPath
build_miyabi/result_profiling_20260711_092110_2359175/ablation_H1W1A0.sqlite	yes	sqlite	1433600	8e573b8ef1bc7fcc75e04ebdc2d7934630a3aa0aa637ccce98566584de444b31	no	no	raw_data/profiling/job_2359175_20260711/ablation_H1W1A0.nsys-rep	KEEP_EXTERNAL_REGENERATABLE	nsys .sqlite は追跡済み .nsys-rep から `nsys export --type sqlite` で再生成可能	not_applicable
build_miyabi/result_profiling_20260711_092110_2359175/ablation_H1W1A1.sqlite	yes	sqlite	1400832	353c4b758e8541acf163dbddb74226a452699f6c4ef35aef46261039728f21aa	no	no	raw_data/profiling/job_2359175_20260711/ablation_H1W1A1.nsys-rep	KEEP_EXTERNAL_REGENERATABLE	nsys .sqlite は追跡済み .nsys-rep から `nsys export --type sqlite` で再生成可能	not_applicable
build_miyabi/result_profiling_20260711_092110_2359175/um_prefetch_gpu_opt.sqlite	yes	sqlite	3231744	7ae4900c82d9379b72e1bb5a0a1c3f16dacc3d100bb8acec5a087c8998342852	no	no	raw_data/profiling/job_2359175_20260711/um_prefetch_gpu_opt.nsys-rep	KEEP_EXTERNAL_REGENERATABLE	nsys .sqlite は追跡済み .nsys-rep から `nsys export --type sqlite` で再生成可能	not_applicable
build_miyabi/phaseB_verify_out/auto_benchmark_7000_41459.err	yes	bc_vector_or_err	547	3144d344831c83bac14609d8d35bac7557c68a4202f23e03c249a8a999a3aa43	yes	yes		MIGRATE_TO_RAW_DATA	kernel 選択検証の BC ベクトル/err（<100MB, 論文の kernel selection 検証に必要）→ raw_data へ移行	raw_data/tuning/kernel_selection/benchmark_7000_41459/block/gpu_opt/job_2355971_20260710/auto_benchmark_7000_41459.err
build_miyabi/phaseB_verify_out/auto_email-EuAll.err	yes	bc_vector_or_err	548	2cac11c886b149b2c53350274ae79fd963f2c54dbd95d09e9c6c78e3b3f3d490	yes	yes		MIGRATE_TO_RAW_DATA	kernel 選択検証の BC ベクトル/err（<100MB, 論文の kernel selection 検証に必要）→ raw_data へ移行	raw_data/tuning/kernel_selection/email-EuAll/block/gpu_opt/job_2355971_20260710/auto_email-EuAll.err
build_miyabi/phaseB_verify_out/bc_auto_benchmark_7000_41459.txt	yes	bc_vector_or_err	187943	e199e3a738a06dc0baa09dbcc02af193fbd3df36e745c8a005a8d1058662da5a	yes	yes		MIGRATE_TO_RAW_DATA	kernel 選択検証の BC ベクトル/err（<100MB, 論文の kernel selection 検証に必要）→ raw_data へ移行	raw_data/tuning/kernel_selection/benchmark_7000_41459/block/gpu_opt/job_2355971_20260710/bc_auto_benchmark_7000_41459.txt
build_miyabi/phaseB_verify_out/bc_auto_email-EuAll.txt	yes	bc_vector_or_err	7574197	7f7f955678dbfab3c2f42b65540412828548c832f3d719dfeb61069e74bdb3bf	yes	yes		MIGRATE_TO_RAW_DATA	kernel 選択検証の BC ベクトル/err（<100MB, 論文の kernel selection 検証に必要）→ raw_data へ移行	raw_data/tuning/kernel_selection/email-EuAll/block/gpu_opt/job_2355971_20260710/bc_auto_email-EuAll.txt
build_miyabi/phaseB_verify_out/bc_shared_benchmark_7000_41459.txt	yes	bc_vector_or_err	187943	07676a33e384c36bb17ced9d5ea439bae46b2ed402cb71737ea6649acb4ec542	yes	yes		MIGRATE_TO_RAW_DATA	kernel 選択検証の BC ベクトル/err（<100MB, 論文の kernel selection 検証に必要）→ raw_data へ移行	raw_data/tuning/kernel_selection/benchmark_7000_41459/shared/gpu_opt/job_2355971_20260710/bc_shared_benchmark_7000_41459.txt
build_miyabi/phaseB_verify_out/bc_shared_email-EuAll.txt	yes	bc_vector_or_err	7574197	2396204b09010f87264872f5595f9de6c7c16fcefc45218caec4dd9b557782ec	yes	yes		MIGRATE_TO_RAW_DATA	kernel 選択検証の BC ベクトル/err（<100MB, 論文の kernel selection 検証に必要）→ raw_data へ移行	raw_data/tuning/kernel_selection/email-EuAll/shared/gpu_opt/job_2355971_20260710/bc_shared_email-EuAll.txt
build_miyabi/phaseB_verify_out/shared_benchmark_7000_41459.err	yes	bc_vector_or_err	550	3fee448e9a04d9adf9ce11f906fcbf7665f65c905c464f16e3d18320123eb505	yes	yes		MIGRATE_TO_RAW_DATA	kernel 選択検証の BC ベクトル/err（<100MB, 論文の kernel selection 検証に必要）→ raw_data へ移行	raw_data/tuning/kernel_selection/benchmark_7000_41459/shared/gpu_opt/job_2355971_20260710/shared_benchmark_7000_41459.err
