SourceID	TodoFile	TodoLine	Topic	Claim	CitationKey	SourceType	PrimaryURL	DOI	MetadataVerifiedBy	ClaimVerified	Status	Notes	ImplementationProvenance	LicenseStatus	SoftwareVersion	VersionMatched
S01	docs/thesis/00_thesis_positioning.md	14	BC/Brandes法	Brandesアルゴリズム: 前向きσ/後向きδ累積の2フェーズ・非重みO(V·E)	brandes2001	paper	https://doi.org/10.1080/0022250X.2001.9990249	10.1080/0022250X.2001.9990249	Crossref API + kops.uni-konstanz.de(機関リポジトリ) + 本文PDF(Theorem 6/Corollary 4)	YES	RESOLVED	12_related_work_gap.md L106 [R1]。TODO_SOURCEマーカーは0件のためTodoFile/TodoLineは主張の所在を指す(以下同)	n/a	n/a	n/a	n/a
S02	docs/thesis/04_method_design.md	38	direction-optimizing BFS	top-down/bottom-up方向切替とalpha=14/beta=24の推奨値(brandes_kernels.cuh:40の出典)	beamer2012	paper	https://doi.org/10.1109/SC.2012.50	10.1109/SC.2012.50	Crossref API + 著者公開版PDF(scottbeamer.net)	YES	RESOLVED	本文に「we suggest α = 14 and β = 24」を確認。[R2]	n/a	n/a	n/a	n/a
S03	docs/thesis/12_related_work_gap.md	119	GPU BC	GPU上の高性能厳密BCは既存(work-efficient/edge-parallelのグラフ特性に応じた選択)	mclaughlin2014	paper	https://doi.org/10.1109/SC.2014.52	10.1109/SC.2014.52	Crossref API(pp.572-583) + 著者公式ページ(davidbader.net/publication/2014-m-ba/) + 実装repo(github.com/Adam27X/hybrid_BC)	YES	RESOLVED	[R3]。前段のDOI訂正(.51→.52)が正しいことを再確認	n/a	n/a	n/a	n/a
S04	docs/thesis/12_related_work_gap.md	128	GPU BC	[R3]のCACM Research Highlight版(GPU BCの確立を補強)	mclaughlin2018	paper	https://doi.org/10.1145/3230485	10.1145/3230485	Crossref API(61(8):85-92) + 著者公式ページ(davidbader.net/publication/2018-mb/; work-efficient/edge-parallel選択の要旨を確認)	YES	RESOLVED	[R4]。ACM DL/CACMサイトは403のため著者公式ページを第二系統に採用	n/a	n/a	n/a	n/a
S05	docs/thesis/12_related_work_gap.md	132	並列BC(multi-source/ヘテロ)	粗粒度(ソース単位)/細粒度並列・vertex virtualization・CPU/GPUヘテロ同時実行BCは既存	sariyuce2013	paper	https://doi.org/10.1145/2458523.2458531	10.1145/2458523.2458531	Crossref API(pp.76-85) + 著者公式ページ(sariyuce.com/publications/) + 著者公開PDF本文	YES	RESOLVED	[R5]。本文確認に合わせ「複数ソース同時」の表現を粗粒度/細粒度並列に精緻化(Stage L0)	n/a	n/a	n/a	n/a
S06	docs/thesis/12_related_work_gap.md	140	PathMerge	Galliot: path-mergingにより補助メモリ消費を抑えたGPU厳密BC(主要比較baselineのアルゴリズム原著)	zheng2023galliot	paper	https://doi.org/10.1109/INFOCOM53939.2023.10229018	10.1109/INFOCOM53939.2023.10229018	Crossref API(pp.1-10) + 著者公式ページ(whu-zhigao.github.io/publication/)	YES	RESOLVED	[R6]。「O(n)補助メモリ」の漸近表現は本文未確認のため公式要旨準拠の表現へ修正し、vendored実装のper-source O(n)配列はコード内根拠として区別	n/a	n/a	n/a	n/a
S07	docs/thesis/12_related_work_gap.md	155	PathMerge	path-merging BCの雑誌版(IEEE JSAC 41(10):3133-3145, 2023)	zheng2023jsac	paper	https://doi.org/10.1109/JSAC.2023.3310071	10.1109/JSAC.2023.3310071	Crossref API + 著者公式ページ(巻号頁が完全一致)	YES	RESOLVED	[R7]	n/a	n/a	n/a	n/a
S08	docs/thesis/04_method_design.md	118	PathMerge実装(上流)	vendored PathMerge実装の上流はgobardhanm/path-merging-bc	pathmergeRepo	software	https://github.com/gobardhanm/path-merging-bc		GitHub実ページのREADME/言語構成/免責を直接確認(2026-07-15) + repo内根拠(include/baseline/brandes_baseline.hpp:21) + L0.1: GitHub commits/API で単一commit SHAを取得・LICENSE不在を再確認(2026-07-15)	YES	PARTIALLY_RESOLVED	論文著者の公式実装ではない第三者実装。READMEに正式な論文引用・ライセンス表記なし。論文への実装忠実性未検証(external comparatorの位置づけで整合)。[R6]注記に明記。L0.1: 上流commit 9c231b46(単一"Initial commit",2025-11-12)を確認、LICENSE/COPYING不在を再確認。ライセンス不明のため再配布権は未確定→ユーザー判断(ファイル削除・移動せず)。docs 06/14/CLAIMS/evidence_matrixに「評価に使用した第三者実装のPathMerge」の初出限定を追加	上流=github.com/gobardhanm/path-merging-bc @ 9c231b46f7499380d4495262c1ec75a11cdaae7a (単一"Initial commit" 2025-11-12; GitHub API/commitsで確認 L0.1)。第三者実装(論文著者公式でない)。vendored(src/baseline/galliot*.cu, pathmerge.cu)はutils/graphをstub化したadapter派生で、取得元の厳密なcommit/tagは取得時に未記録。upstream単一commitは全実験checkpoint(2026-05〜07)より前で時系列整合	unknown — 上流repoにLICENSE/COPYINGなし・GitHub Aboutにライセンス非表示・vendored各ソースにライセンスヘッダなし(L0.1 grep+web再確認)。明示的な再配布/改変許諾は確認できず(既定=著作権者留保)。「公開再配布権を確認済み」とは記載しない。ファイル削除・移動せずユーザー判断要	n/a	n/a
S09	docs/thesis/05_experimental_setup.md	101	cuGraph	cuGraphのbetweenness_centralityはvertices未指定で全頂点traversalによるexact計算	rapidsCugraph	software	https://github.com/rapidsai/cugraph		GitHub公式repo(Apache-2.0を確認) + vendored公式ヘッダ(third_party/cugraph/cpp/include/cugraph/algorithms.hpp) + L0.1: third_party/cugraph/VERSION=26.06.00・呼び出し引数(cugraph_bc.cu:93-99 vertices=nullopt→exact/normalized=false/include_endpoints=false)を再確認	YES	RESOLVED	[R8]。本研究の呼び出し条件はsrc/baseline/cugraph_bc.cuで確認済(既存記載)。L0.1: vendored cuGraphソースの実版は26.06.00	RAPIDS公式 rapidsai/cugraph, vendored tree eb339d4(Gate J1.1固定; snapshot _dependencies/cugraph_bc_subset_20260710と同一, 全7checkpoint同tree)	Apache-2.0 (third_party/cugraph/LICENSE)	cuGraph 26.06.00 (third_party/cugraph/VERSION; snapshot同一)	n/a
S10	docs/thesis/12_related_work_gap.md	160	cuGraph公式docs	公式APIドキュメントもk=None(既定)で全頂点=exact・k指定でサンプリング近似と明記	rapidsCugraphBcDocs	official_doc	https://docs.rapids.ai/api/cugraph/stable/api_docs/api/cugraph/cugraph.centrality.betweenness_centrality/		公式docs(cugraph-docs 26.06.00)を直接確認。版と参照日2026-07-15をreferences.bibに記録	YES	RESOLVED	[R8]付随。第二系統=vendored公式ヘッダ(同一記述)。L0.1: 引用docs版26.06.00がvendored実装版26.06.00と一致することを確認(k=None/vertices未指定→全頂点exactの意味を過去実験へ遡及適用する不整合なし)	n/a	n/a	引用=cugraph-docs 26.06.00(URLは/stable/, 参照日2026-07-15時点で26.06.00をレンダー)	YES — 引用docs 26.06.00 == vendored third_party/cugraph/VERSION 26.06.00。rapids-cmake/rmm/raft/cuco の v26.04.00 pin はビルド基盤依存のみでcuGraphライブラリ版ではない(cugraph_bc_mini/CMakeLists.txt:19-27)
