ClaimID	ResearchQuestion	Claim	Status	Graphs	Implementations	Trials	Metric	SupportingFiles	Limitations	ThesisChapter
C-PERF-ALL	RQ1	固定b512 block GPU_Opt が PathMerge tuned より 1.31-3.17x 高速	SUPPORTED	email-EuAll;roadNet-PA;roadNet-TX;roadNet-CA	GPU_Opt(UM,block);PathMerge_tuned	email5;road3;pm3	median_speedup	result/main_performance/proposed_vs_pathmerge/comparison.tsv;result/tables/final_speedup_tables.md;result/CLAIMS.md	4グラフ限定;提案は固定b512;PathMergeはtuned(保守的);headline正確性はmax_bc_only;PathMergeは評価した第三者実装(上流gobardhanm/path-merging-bc,論文著者公式でない,明示ライセンスなし)	6
C-PERF-EMAIL	RQ1	email-EuAll で 3.17x (30.81 vs 97.80 b2048)	SUPPORTED	email-EuAll	GPU_Opt;PathMerge_b2048	5;3	median_sec	raw_data/main_performance/proposed_variants/email-EuAll/_run/job_2357334_20260711/results.tsv;raw_data/tuning/pathmerge/email-EuAll/pathmerge_bc/job_multi_20260710/pathmerge_sweep_results.tsv	ハブ有り実データ1件	6
C-PERF-PA	RQ1	roadNet-PA で 1.31x (699.52 vs 918.67 b64)	SUPPORTED	roadNet-PA	GPU_Opt;PathMerge_b64	3;3	median_sec	raw_data/main_performance/proposed_variants/roadNet-PA/_run/job_2357334_20260711/results.tsv;raw_data/main_performance/seven_implementations/legacy_partial/large/no_gpu_opt/job_notrecorded_legacy/results_no_gpu_opt.tsv	PathMerge tuned=既定b64と同一設定(legacy実測採用)	6
C-PERF-TX	RQ1	roadNet-TX で 1.51x (980.13 vs 1482.68 b64)	SUPPORTED	roadNet-TX	GPU_Opt;PathMerge_b64	3;3	median_sec	raw_data/main_performance/proposed_variants/roadNet-TX/_run/job_2357334_20260711/results.tsv;raw_data/main_performance/seven_implementations/legacy_partial/large/no_gpu_opt/job_notrecorded_legacy/results_no_gpu_opt.tsv	tuned=既定b64と同一設定	6
C-PERF-CA	RQ1	roadNet-CA で 1.45x (2129.10 vs 3079.72 b32)	SUPPORTED	roadNet-CA	GPU_Opt;PathMerge_b32	3;3	median_sec	raw_data/main_performance/proposed_variants/roadNet-CA/_run/job_2357334_20260711/results.tsv;raw_data/tuning/pathmerge/roadNet-CA/pathmerge_bc/job_multi_20260710/pathmerge_sweep_results.tsv	既定b64比較1.64xと区別	6
C-DESIGN	RQ1	Hybrid BFS+block始点+依存度GPU並列+2streamを統合したバッチ型全始点BC実行基盤を設計実装	SUPPORTED	all	GPU_Opt;GPU_Opt_Pure;GPU_Opt_Pure_Chunked	NA	implementation	src/proposed/host_um.cu;src/proposed/host_pure.cu;src/proposed/host_chunked.cu;include/proposed/brandes_kernels.cuh	要素技術は既存;統合が貢献	4
C-ABL-H	RQ2	Hybrid BFS が主要な性能寄与(synthetic主効果幾何平均1.655x)	SUPPORTED_WITH_LIMITATIONS	benchmark_7000;benchmark_11023;56438;325557;email-EuAll	Ablation_H/W/A	synthetic5;email3	geomean_maineffect	result/ablation/synthetic_2354994/ablation_contributions.tsv;result/ablation/email_2354999/ablation_contributions.tsv	5グラフ限定;roadNetへ一般化しない	7
C-ABL-A	RQ2	2ストリームが主要な性能寄与(synthetic1.396x email1.720x)	SUPPORTED_WITH_LIMITATIONS	benchmark_7000;benchmark_11023;56438;325557;email-EuAll	Ablation_H/W/A	synthetic5;email3	geomean_maineffect	result/ablation/synthetic_2354994/ablation_contributions.tsv;result/ablation/email_2354999/ablation_contributions.tsv	gap負値は重畳の証拠;5グラフ限定	7
C-ABL-W	RQ2	warp協調の効果はグラフ依存(email0.970x 56438 0.992x bench7000 1.175x)	SUPPORTED_WITH_LIMITATIONS	benchmark_7000;benchmark_11023;56438;325557;email-EuAll	Ablation_H/W/A	synthetic5;email3	geomean_maineffect	result/ablation/synthetic_2354994/ablation_summary.md;result/ablation/email_2354999/ablation_summary.md	常に有効/有害とは書かない	7
C-KSEL	RQ2	forced比較でblockがsharedより高速(PA1.52x TX1.66x)Max BC一致	SUPPORTED_WITH_LIMITATIONS	roadNet-PA;roadNet-TX	forced_shared;forced_block	3;3	median_speedup	raw_data/tuning/kernel_selection/roadNet-PA/gpu_opt_forced/job_2354329_20260710/kernel_selection_results.tsv;raw_data/tuning/kernel_selection/roadNet-TX/gpu_opt_forced/job_2354330_20260710/kernel_selection_results.tsv	2グラフのforced比較;未測定グラフへ一般化しない	7
C-MEM-FEAS	RQ3	実行可能バッチはPure<UM<Chunked(Pure b8192 OOM,UM b10240到達,Chunked b16384到達)	SUPPORTED_WITH_LIMITATIONS	325557	GPU_Opt(UM);GPU_Opt_Pure;GPU_Opt_Pure_Chunked	5	feasibility_status	raw_data/memory_scalability/325557_3216152/gpu_opt/job_notrecorded_20260512/oversubscribe_results_gpu_opt.tsv;raw_data/memory_scalability/325557_3216152/gpu_opt_pure/job_notrecorded_20260512/oversubscribe_results_gpu_opt_pure.tsv;raw_data/memory_scalability/325557_3216152/gpu_opt_pure_chunked/job_notrecorded_20260512/oversubscribe_results_gpu_opt_pure_chunked.tsv	325557限定;oldtree_f05ec52_20260512測定;時間値非採用;境界は環境依存	8
