OriginalPath	CanonicalPath	SizeBytes	OriginalSHA256	CanonicalSHA256	HashMatch	CheckpointSHA	GraphSHA256	PBSJobID	Purpose
build_miyabi/result_corrected_325557_20260717_215817_2404743.opbs/MANIFEST.txt	raw_data/corrected_325557/job_2404743/MANIFEST.txt	1470	d27126a1d56ce323533d7a9fa93a0010f12dd894dce4b7ba2901caa7a64bdb37	d27126a1d56ce323533d7a9fa93a0010f12dd894dce4b7ba2901caa7a64bdb37	yes	45352a344aaac463283a647467b790be9b45bfb8	8373244f209a3ee489fe72a7b237a5639d142e3a10ac451a2c81b09194eeaa22	2404743.opbs	job provenance manifest (checkpoint/graph/runner/policy)
build_miyabi/result_corrected_325557_20260717_215817_2404743.opbs/run.log	raw_data/corrected_325557/job_2404743/run.log	34539	a94e7447f22f4c2835cbf7586d83d17cd2f1c768af454d3b243c0b15990c1e7d	a94e7447f22f4c2835cbf7586d83d17cd2f1c768af454d3b243c0b15990c1e7d	yes	45352a344aaac463283a647467b790be9b45bfb8	8373244f209a3ee489fe72a7b237a5639d142e3a10ac451a2c81b09194eeaa22	2404743.opbs	orchestrator run log (stdout of runner harness)
build_miyabi/result_corrected_325557_20260717_215817_2404743.opbs/graph_validation.json	raw_data/corrected_325557/job_2404743/graph_validation.json	2305	95fdf972fd75d2fcf75fd265c1a666b658f3af01c04db41767f77e367044f4f8	95fdf972fd75d2fcf75fd265c1a666b658f3af01c04db41767f77e367044f4f8	yes	45352a344aaac463283a647467b790be9b45bfb8	8373244f209a3ee489fe72a7b237a5639d142e3a10ac451a2c81b09194eeaa22	2404743.opbs	corrected graph structural validation
build_miyabi/result_corrected_325557_20260717_215817_2404743.opbs/implementation_manifest.tsv	raw_data/corrected_325557/job_2404743/implementation_manifest.tsv	6923	6742817728cba57ce926dbbf57737ec6b4c2351fb97c71211e3aef710ffce850	6742817728cba57ce926dbbf57737ec6b4c2351fb97c71211e3aef710ffce850	yes	45352a344aaac463283a647467b790be9b45bfb8	8373244f209a3ee489fe72a7b237a5639d142e3a10ac451a2c81b09194eeaa22	2404743.opbs	per-impl batch/NS/allocation record
build_miyabi/result_corrected_325557_20260717_215817_2404743.opbs/feasibility_results.tsv	raw_data/corrected_325557/job_2404743/feasibility_results.tsv	868	21794bed28c6dde3d06875deff827458d519bcd124b2bf2a9a1499e45c9b496c	21794bed28c6dde3d06875deff827458d519bcd124b2bf2a9a1499e45c9b496c	yes	45352a344aaac463283a647467b790be9b45bfb8	8373244f209a3ee489fe72a7b237a5639d142e3a10ac451a2c81b09194eeaa22	2404743.opbs	capacity-boundary feasibility outcomes
build_miyabi/result_corrected_325557_20260717_215817_2404743.opbs/vector_inventory.tsv	raw_data/corrected_325557/job_2404743/vector_inventory.tsv	2534	9396ddb788711314d109039d22a6f49fcbe0457a8904c0580ba7fc70cf77498c	9396ddb788711314d109039d22a6f49fcbe0457a8904c0580ba7fc70cf77498c	yes	45352a344aaac463283a647467b790be9b45bfb8	8373244f209a3ee489fe72a7b237a5639d142e3a10ac451a2c81b09194eeaa22	2404743.opbs	6-vector inventory with SHA256
build_miyabi/result_corrected_325557_20260717_215817_2404743.opbs/comparison_matrix.tsv	raw_data/corrected_325557/job_2404743/comparison_matrix.tsv	4134	12cbeb386a65b7fd566e6ce3434919c94d42abc225fb5c52a5d3d18495579b14	12cbeb386a65b7fd566e6ce3434919c94d42abc225fb5c52a5d3d18495579b14	yes	45352a344aaac463283a647467b790be9b45bfb8	8373244f209a3ee489fe72a7b237a5639d142e3a10ac451a2c81b09194eeaa22	2404743.opbs	10 pairwise comparison summary
build_miyabi/result_corrected_325557_20260717_215817_2404743.opbs/oom_evidence.tsv	raw_data/corrected_325557/job_2404743/oom_evidence.tsv	1308	bb547b2804c5fed31d07262d4d803629a48cc355948811563883d0dd69923377	bb547b2804c5fed31d07262d4d803629a48cc355948811563883d0dd69923377	yes	45352a344aaac463283a647467b790be9b45bfb8	8373244f209a3ee489fe72a7b237a5639d142e3a10ac451a2c81b09194eeaa22	2404743.opbs	strong-evidence-only OOM classification
bc_corr325557.o2404743	raw_data/corrected_325557/job_2404743/pbs_stdout.log	10130	3c4c46680f9432b94fef79ca9344027ad77195973d075b8019379f934feb8ec5	3c4c46680f9432b94fef79ca9344027ad77195973d075b8019379f934feb8ec5	yes	45352a344aaac463283a647467b790be9b45bfb8	8373244f209a3ee489fe72a7b237a5639d142e3a10ac451a2c81b09194eeaa22	2404743.opbs	PBS stdout (.o2404743) copied verbatim; gitignored at source name
build_miyabi/result_corrected_325557_20260717_215817_2404743.opbs/gpu_opt_b1024.bc.tsv	raw_data/corrected_325557/job_2404743/vectors/gpu_opt_b1024.bc.tsv	9330105	adc6270b15aba9201c7667460b235d0e3762dcb9e529e6390bc5db218d738796	adc6270b15aba9201c7667460b235d0e3762dcb9e529e6390bc5db218d738796	yes	45352a344aaac463283a647467b790be9b45bfb8	8373244f209a3ee489fe72a7b237a5639d142e3a10ac451a2c81b09194eeaa22	2404743.opbs	per-vertex BC vector (gpu_opt_b1024); full-vector re-audit input
