LibraryFigureID	Namespace	SlideNumber	ThesisFigureNumber	CanonicalResultFigureID	Title	Purpose	ThesisChapter	PresentationUse	CanonicalData	EditableSource	Generator	EditableObjectType	ExportedAssets	ExportFormats	Status	Notes
F01	editable_library	1	1.1	not_applicable	Thesis Overview	Connect the problem, framework, and evaluation evidence	1	Overview / motivation	docs/thesis/03_chapter_outline.md	docs/thesis/figures/editable/thesis_figure_library.pptx	scripts/generate_editable_figure_library.py	Editable shape diagram	docs/thesis/figures/exported/figure_1_1_thesis_overview.{svg,pdf,png}	PPTX;SVG;PDF;PNG	Ready	Integrated as Figure 1.1 (Section 1.3)
F02	editable_library	2	2.1	not_applicable	Brandes Algorithm Flow	Explain the per-source Brandes stages	2	Algorithm background	docs/thesis/writing/japanese/02_background.md	docs/thesis/figures/editable/thesis_figure_library.pptx	scripts/generate_editable_figure_library.py	Editable shape diagram	docs/thesis/figures/exported/figure_2_1_brandes_algorithm.{svg,pdf,png}	PPTX;SVG;PDF;PNG	Ready	Loop is explicit
F03	editable_library	3	2.2	not_applicable	GH200 Memory Hierarchy	Separate compute, memory placement, and working-set concepts	2	Architecture and memory	docs/thesis/04_method_design.md	docs/thesis/figures/editable/thesis_figure_library.pptx	scripts/generate_editable_figure_library.py	Editable shape diagram	docs/thesis/figures/exported/figure_2_2_gh200_memory_hierarchy.{svg,pdf,png}	PPTX;SVG;PDF;PNG	Ready	Integrated as Figure 2.2 (Section 2.5); referenced again from Chapters 4 and 8
F04	editable_library	4	4.1	not_applicable	Overall GPU Execution Framework	Show the central batched dual-stream GPU pipeline	4	Method overview	docs/thesis/04_method_design.md	docs/thesis/figures/editable/thesis_figure_library.pptx	scripts/generate_editable_figure_library.py	Editable shape diagram	docs/thesis/figures/exported/figure_4_1_gpu_execution_framework.{svg,pdf,png}	PPTX;SVG;PDF;PNG	Ready	Common framework
F05	editable_library	5	4.2	not_applicable	Batch-to-Source Mapping	Clarify source batching and one-block-per-source mapping	4	Batch semantics	docs/thesis/04_method_design.md;result/main_performance/proposed_variants/SOURCE.md	docs/thesis/figures/editable/thesis_figure_library.pptx	scripts/generate_editable_figure_library.py	Editable shape diagram	docs/thesis/figures/exported/figure_4_2_batch_source_mapping.{svg,pdf,png}	PPTX;SVG;PDF;PNG	Ready	NS_eff=2 in capacity
F06	editable_library	6	4.3	not_applicable	Hybrid BFS State Transition	Explain direction switching inside GPU BFS	4	Hybrid BFS	docs/thesis/04_method_design.md	docs/thesis/figures/editable/thesis_figure_library.pptx	scripts/generate_editable_figure_library.py	Editable shape diagram	docs/thesis/figures/exported/figure_4_3_hybrid_bfs.{svg,pdf,png}	PPTX;SVG;PDF;PNG	Ready	Not CPU--GPU hybrid
F07	editable_library	7	4.4	not_applicable	Dual-Stream Timeline	Explain staggered execution and buffer reuse	4	Streams / overlap	docs/thesis/04_method_design.md	docs/thesis/figures/editable/thesis_figure_library.pptx	scripts/generate_editable_figure_library.py	Editable shape diagram	docs/thesis/figures/exported/figure_4_4_dual_stream_timeline.{svg,pdf,png}	PPTX;SVG;PDF;PNG	Ready	Conceptual timeline
F08	editable_library	8	4.5	not_applicable	Memory Management Variants	Place UM, Pure, and Chunked above one execution framework	4/8	Memory variants	docs/thesis/04_method_design.md	docs/thesis/figures/editable/thesis_figure_library.pptx	scripts/generate_editable_figure_library.py	Editable shape diagram	docs/thesis/figures/exported/figure_4_5_memory_management_variants.{svg,pdf,png}	PPTX;SVG;PDF;PNG	Ready	Chunked is source sub-batching
F09	editable_library	9	6.1	F1	Main Runtime Comparison	Compare GPU_Opt with tuned PathMerge on four graphs	6	Headline performance	result/tables/thesis/T2_main_performance.tsv;result/main_performance/proposed_vs_pathmerge/comparison.tsv;raw_data/main_performance/proposed_variants/*	docs/thesis/figures/editable/thesis_figure_library.pptx	scripts/generate_editable_figure_library.py	Editable native chart	result/figures/thesis/main_runtime_comparison.{pdf,png,svg}	PPTX	Ready	Raw medians on a base-10 log value axis (10--10000 s); sample SD retained in workbook
F10	editable_library	10	6.2	F2	Speedup over Tuned PathMerge	Show graph-specific speedup over the tuned comparator	6	Headline speedup	result/main_performance/proposed_vs_pathmerge/comparison.tsv;raw_data/main_performance/proposed_variants/*	docs/thesis/figures/editable/thesis_figure_library.pptx	scripts/generate_editable_figure_library.py	Editable native chart	result/figures/thesis/main_speedup_over_tuned_pathmerge.{pdf,png,svg}	PPTX	Ready	Raw-median recomputation; parity is a constant 1.0 line series, not a floating shape
