ExternalPath	Type	SizeBytes	SHA256	Reason	RetentionStatus	Note
build_miyabi/result_profiling_20260711_092110_2359175/ablation_H1W1A0.sqlite	sqlite	1433600	8e573b8ef1bc7fcc75e04ebdc2d7934630a3aa0aa637ccce98566584de444b31	nsys .sqlite は raw_data/profiling/*.nsys-rep から `nsys stats` で再生成可能	excluded_regeneratable	reproduce: nsys stats <raw_data/profiling/job_2359175_20260711/*.nsys-rep>
build_miyabi/result_profiling_20260711_092110_2359175/ablation_H1W1A1.sqlite	sqlite	1400832	353c4b758e8541acf163dbddb74226a452699f6c4ef35aef46261039728f21aa	nsys .sqlite は raw_data/profiling/*.nsys-rep から `nsys stats` で再生成可能	excluded_regeneratable	reproduce: nsys stats <raw_data/profiling/job_2359175_20260711/*.nsys-rep>
build_miyabi/result_profiling_20260711_092110_2359175/um_prefetch_gpu_opt.sqlite	sqlite	3231744	7ae4900c82d9379b72e1bb5a0a1c3f16dacc3d100bb8acec5a087c8998342852	nsys .sqlite は raw_data/profiling/*.nsys-rep から `nsys stats` で再生成可能	excluded_regeneratable	reproduce: nsys stats <raw_data/profiling/job_2359175_20260711/*.nsys-rep>
build_miyabi/phaseB_verify_out/auto_benchmark_7000_41459.err	bc_vector_or_err	547	3144d344831c83bac14609d8d35bac7557c68a4202f23e03c249a8a999a3aa43	kernel 選択検証の大容量 BC ベクトル/エラーログ。compare_bc_vectors.py でハッシュ検証済、Git 非追加	excluded_large_bc_vectors	related: result/tuning/kernel_selection/
build_miyabi/phaseB_verify_out/auto_email-EuAll.err	bc_vector_or_err	548	2cac11c886b149b2c53350274ae79fd963f2c54dbd95d09e9c6c78e3b3f3d490	kernel 選択検証の大容量 BC ベクトル/エラーログ。compare_bc_vectors.py でハッシュ検証済、Git 非追加	excluded_large_bc_vectors	related: result/tuning/kernel_selection/
build_miyabi/phaseB_verify_out/bc_auto_benchmark_7000_41459.txt	bc_vector_or_err	187943	e199e3a738a06dc0baa09dbcc02af193fbd3df36e745c8a005a8d1058662da5a	kernel 選択検証の大容量 BC ベクトル/エラーログ。compare_bc_vectors.py でハッシュ検証済、Git 非追加	excluded_large_bc_vectors	related: result/tuning/kernel_selection/
build_miyabi/phaseB_verify_out/bc_auto_email-EuAll.txt	bc_vector_or_err	7574197	7f7f955678dbfab3c2f42b65540412828548c832f3d719dfeb61069e74bdb3bf	kernel 選択検証の大容量 BC ベクトル/エラーログ。compare_bc_vectors.py でハッシュ検証済、Git 非追加	excluded_large_bc_vectors	related: result/tuning/kernel_selection/
build_miyabi/phaseB_verify_out/bc_shared_benchmark_7000_41459.txt	bc_vector_or_err	187943	07676a33e384c36bb17ced9d5ea439bae46b2ed402cb71737ea6649acb4ec542	kernel 選択検証の大容量 BC ベクトル/エラーログ。compare_bc_vectors.py でハッシュ検証済、Git 非追加	excluded_large_bc_vectors	related: result/tuning/kernel_selection/
build_miyabi/phaseB_verify_out/bc_shared_email-EuAll.txt	bc_vector_or_err	7574197	2396204b09010f87264872f5595f9de6c7c16fcefc45218caec4dd9b557782ec	kernel 選択検証の大容量 BC ベクトル/エラーログ。compare_bc_vectors.py でハッシュ検証済、Git 非追加	excluded_large_bc_vectors	related: result/tuning/kernel_selection/
build_miyabi/phaseB_verify_out/shared_benchmark_7000_41459.err	bc_vector_or_err	550	3fee448e9a04d9adf9ce11f906fcbf7665f65c905c464f16e3d18320123eb505	kernel 選択検証の大容量 BC ベクトル/エラーログ。compare_bc_vectors.py でハッシュ検証済、Git 非追加	excluded_large_bc_vectors	related: result/tuning/kernel_selection/
build_miyabi/phaseB_verify_out/shared_email-EuAll.err	bc_vector_or_err	555	ef0677c6c094e24d8036012aac84c4159f0cabcad591f9f0a0ea13240ff66633	kernel 選択検証の大容量 BC ベクトル/エラーログ。compare_bc_vectors.py でハッシュ検証済、Git 非追加	excluded_large_bc_vectors	related: result/tuning/kernel_selection/
bc_ablation.o2354994	pbs_stdout_log	15432	d01e287fc7af6e117de37e9deea5e420d9938f7cc43029256c1faba50283e104	PBS ジョブ stdout/stderr（gitignore *.o[0-9]*）。集計 TSV/ログは raw_data/ に保持。この .o 生ログは Git 非保持	external_gitignored_not_in_git	origin log; tabular raw in raw_data/
bc_ablation.o2354999	pbs_stdout_log	3907	ff223c9737f21315098806bcc33fa251842dbbf5203eb3e8c8758d7fe5866d2f	PBS ジョブ stdout/stderr（gitignore *.o[0-9]*）。集計 TSV/ログは raw_data/ に保持。この .o 生ログは Git 非保持	external_gitignored_not_in_git	origin log; tabular raw in raw_data/
bc_build_smoke.o2360062	pbs_stdout_log	2652	34f00d6fc7fffbb89757fefc73631ae99b06ce5d0554609a442a29905783c062	PBS ジョブ stdout/stderr（gitignore *.o[0-9]*）。集計 TSV/ログは raw_data/ に保持。この .o 生ログは Git 非保持	external_gitignored_not_in_git	origin log; tabular raw in raw_data/
bc_ca_b16.o2361041	pbs_stdout_log	733	0e13159042dab2365ea7a8f868a242b3c84513559132386c2ff1a02aacd35195	PBS ジョブ stdout/stderr（gitignore *.o[0-9]*）。集計 TSV/ログは raw_data/ に保持。この .o 生ログは Git 非保持	external_gitignored_not_in_git	origin log; tabular raw in raw_data/
