OriginalPath	NewPath	Classification	Reason	OriginalSHA256	NewSHA256	HashMatch	UsedInThesis	SourceSnapshotID	Notes
(none)	failure/MANIFEST.tsv	failure	Gate B/B2/B2.1新規生成	 	40ecae9c7f179256142d3c64ce3af57eb9a69fda5f156f6efcdf570abc50c670	new	no	archival_generated	生成: 整理; Gate H0 memory_paths反映
(none)	failure/README.md	failure	Gate B/B2/B2.1新規生成	 	60a0d8c270dca2c2ff93aff001cf69ce50c84fbb9498a613be567e75b59c333b	new	no	archival_generated	生成: 整理; Gate H0 memory_paths反映
build_miyabi/result_pathmerge_sweep_20260711_083659_2359080/pathmerge_sweep.log	raw_data/unsuccessful/early_terminated/pathmerge_sweep/roadNet-PA/job_2359080_20260711/pathmerge_sweep.log	failure	build_miyabi(未追跡)から小ファイルcopy	59418cba3c0d6e52b8c25a350cb33f37e18795756c7e166bc041553e0f8e6f29	59418cba3c0d6e52b8c25a350cb33f37e18795756c7e166bc041553e0f8e6f29	yes	no	phase_def_block_20260710	原本はEXTERNAL_ARTIFACTS
build_miyabi/result_pathmerge_sweep_20260711_083659_2359080/pathmerge_sweep_results.tsv	raw_data/unsuccessful/early_terminated/pathmerge_sweep/roadNet-PA/job_2359080_20260711/pathmerge_sweep_results.tsv	failure	build_miyabi(未追跡)から小ファイルcopy	b39b2f4f6a8a25a9a3a8a6d23c03166db0a6a1f626d9b429a5dc3a9a8e489760	b39b2f4f6a8a25a9a3a8a6d23c03166db0a6a1f626d9b429a5dc3a9a8e489760	yes	no	phase_def_block_20260710	原本はEXTERNAL_ARTIFACTS
build_miyabi/result_pathmerge_sweep_20260711_083959_2359096/pathmerge_sweep.log	raw_data/unsuccessful/early_terminated/pathmerge_sweep/email-EuAll/job_2359096_20260711/pathmerge_sweep.log	failure	build_miyabi(未追跡)から小ファイルcopy	44bb21b519df36a7d7a2a92e1f7586e326d085c96326e7daef9baaec0aa84abc	44bb21b519df36a7d7a2a92e1f7586e326d085c96326e7daef9baaec0aa84abc	yes	no	phase_def_block_20260710	原本はEXTERNAL_ARTIFACTS
build_miyabi/result_pathmerge_sweep_20260711_083959_2359096/pathmerge_sweep_results.tsv	raw_data/unsuccessful/early_terminated/pathmerge_sweep/email-EuAll/job_2359096_20260711/pathmerge_sweep_results.tsv	failure	build_miyabi(未追跡)から小ファイルcopy	4ac33b396d3c088f68a594ca960531c891253d327a4798807f99f45998e7b15b	4ac33b396d3c088f68a594ca960531c891253d327a4798807f99f45998e7b15b	yes	no	phase_def_block_20260710	原本はEXTERNAL_ARTIFACTS
build_miyabi/result_profiling_20260711_092110_2359175/ablation_H1W1A1.stats.txt	raw_data/unsuccessful/failed/profiling/ablation_H1W1A1_incomplete/job_2359175_20260711/ablation_H1W1A1.stats.txt	failure	build_miyabi(未追跡)から小ファイルcopy	ecc82d6e51d065fea8f2219f4a9dd058480f8834630222c5cd099b6ba11d6868	ecc82d6e51d065fea8f2219f4a9dd058480f8834630222c5cd099b6ba11d6868	yes	no	phase_def_block_20260710	原本はEXTERNAL_ARTIFACTS
build_miyabi/result_final_tables/final_speedup_tables.md	failure/superseded_success/final_speedup_tables_OLD.md	failure	build_miyabi(未追跡)から小ファイルcopy	a28c0dae14102a52409a6e63c5ee0194bd4c9c1b0d5d87ccfab2331cc342f5de	a28c0dae14102a52409a6e63c5ee0194bd4c9c1b0d5d87ccfab2331cc342f5de	yes	no	phase_def_block_20260710	原本はEXTERNAL_ARTIFACTS
legacy_results_miyabi/result_paper/large/gpu_opt_and_gpu_opt_pure_chunked/speedup_table.md	failure/superseded_success/legacy_shared_tables/large/gpu_opt_and_gpu_opt_pure_chunked/speedup_table.md	failure	git mv(内容不変)	02f13392a9574a7e71039ca326c3a30b0a3aed5626b009be3333fc561f0ecc5f	02f13392a9574a7e71039ca326c3a30b0a3aed5626b009be3333fc561f0ecc5f	yes	no	oldtree_f05ec52_20260512
legacy_results_miyabi/result_paper/large/gpu_opt_and_gpu_opt_pure_chunked/summary_table.md	failure/superseded_success/legacy_shared_tables/large/gpu_opt_and_gpu_opt_pure_chunked/summary_table.md	failure	git mv(内容不変)	1f1bc2803db47c50e056acb2b75965355f6da692127a8eb160af1f76c9a5636b	1f1bc2803db47c50e056acb2b75965355f6da692127a8eb160af1f76c9a5636b	yes	no	oldtree_f05ec52_20260512
legacy_results_miyabi/result_paper/large/speedup_table_no_gpu_opt.md	failure/superseded_success/legacy_shared_tables/large/speedup_table_no_gpu_opt.md	failure	git mv(内容不変)	027d203505c3b72c71b0dcf33a504b54a3270df7a9b581555780db0d37845321	027d203505c3b72c71b0dcf33a504b54a3270df7a9b581555780db0d37845321	yes	no	oldtree_f05ec52_20260512
legacy_results_miyabi/result_paper/large/summary_table_no_gpu_opt.md	failure/superseded_success/legacy_shared_tables/large/summary_table_no_gpu_opt.md	failure	git mv(内容不変)	9dec529160a9adc65f8795803be8ac2e7e7edf9ec5b5668ae20d7c9f948ad6c1	9dec529160a9adc65f8795803be8ac2e7e7edf9ec5b5668ae20d7c9f948ad6c1	yes	no	oldtree_f05ec52_20260512
(none)	legacy_results_miyabi/README.md	result	Gate B/B2/B2.1新規生成	 	f89d7c54f8cc4302d473fe5f24ca672392b67d95b8258758442392a9e2ebe766	new	partial	archival_generated	生成: 整理
(none)	result/CLAIMS.md	result	Gate B新規生成+Gate F0 small correctness更新	not_applicable	80d6a38487f4571e2a1f765d4316358f775b28470af4f1b65d2007a6942ec905	modified	partial	archival_generated	小規模3グラフのみSUPPORTED; Gate H0 memory_paths反映
(none)	result/COVERAGE.md	result	Gate B新規生成+Gate F0 small correctness更新	not_applicable	a14b21f2db19a5ef5795282cb1dc879d1a4eb6d66af53f7ddaa6bf44d4e814bc	modified	partial	archival_generated	小規模3グラフのfull-vector coverage追加; Gate H0 memory_paths反映
(none)	result/EXTERNAL_ARTIFACTS.tsv	result	Gate B新規生成+Gate F0 raw vector台帳追加	not_applicable	7f1a418bbc7e88b5d28ca0f53a4a8b1709b1261e27a40ea7df5688e48bf5d8a7	modified	partial	archival_generated	raw vector 6本を個別登録; Gate H0 memory_paths反映; Gate W5.2 PathMerge vector 4本を currently_unavailable として登録
results_miyabi/MANIFEST.md	result/MANIFEST.md	result	パス参照更新+Gate F0 small correctness更新	1a9bc45b194fee604876cffe35a505fcd24466098cd39b30f02c6d0ef8c9ac8d	3f9ac27bc72068cafb137a7462aeb6beb4d4bc1559c026de991148b10f5ce179	modified	partial	memory_diagnostic_20260713	NS_eff=2を含むjob provenance追加; Gate H0 memory_paths反映
(none)	result/MIGRATION_MAP.tsv	result	Gate B新規生成(自己参照)+Gate F0更新	not_applicable	self_not_applicable	self_not_applicable	partial	archival_generated	self-referential hash のため対象外; Gate H0
